Questions,Actual Ans,,Explanation by GPT,Ans by Gemini,Ans by DeepSeek,Ans by Claude,Ans by Grok
"একলা তারে যায় না দেখা, সঙ্গী গেলে বাঁচে।
আধার দেখে ভয়ে পালায়, আলোয় ফিরে আসে।",ছায়া,প্রজাপতি বা তারা,"""একলা তারে যায় না দেখা, সঙ্গী গেলে বাঁচে"": এটি একটি সঙ্গী বা পরিবেশের প্রয়োজনীয়তা বুঝাচ্ছে। একা চলে না, কিন্তু সঙ্গীর সঙ্গে এটি চলতে পারে এবং বাঁচতে পারে।
""আধার দেখে ভয়ে পালায়, আলোয় ফিরে আসে"": এখানে বুঝানো হচ্ছে যে, আঁধারে ভীতি সৃষ্টি হয়, তবে আলোর মধ্যে ফিরে আসার মাধ্যমে নিরাপত্তা বা শান্তি পায়।",,"""একলা তারে যায় না দেখা, সঙ্গী গেলে বাঁচে"": এটি একটি সঙ্গী বা পরিবেশের প্রয়োজনীয়তা বুঝাচ্ছে। একা চলে না, কিন্তু সঙ্গীর সঙ্গে এটি চলতে পারে এবং বাঁচতে পারে।
""আধার দেখে ভয়ে পালায়, আলোয় ফিরে আসে"": এখানে বুঝানো হচ্ছে যে, আঁধারে ভীতি সৃষ্টি হয়, তবে আলোর মধ্যে ফিরে আসার মাধ্যমে নিরাপত্তা বা শান্তি পায়।",,"এটি একটি বাংলা ধাঁধা। আসুন এটির অর্থ বিশ্লেষণ করি:

""একলা তারে যায় না দেখা, সঙ্গী গেলে বাঁচে।""

— এর মানে এমন কিছু যাকে একা দেখা যায় না, কিন্তু কোনো সঙ্গীর সাথে থাকলে তা প্রকাশ পায় বা ""বাঁচে""।

""আধার দেখে ভয়ে পালায়, আলোয় ফিরে আসে।""

— এটি এমন কিছু যে অন্ধকার দেখলে ভয় পায় এবং পালিয়ে যায়, কিন্তু আলোতে আবার ফিরে আসে।

এই ধাঁধার উত্তর হলো ছায়া।"
"একটুখানি পুস্কনি, পানি টলমল করে।
রাজার ছেলের সাধ্য নেই, জাল ফেলতে পারে",চোখ,"""নদী"" বা ""পুকুর""","""একটুখানি পুস্কনি, পানি টলমল করে"": পুকুর বা নদীর পানি অনেক সময় থেমে থাকে, কিন্তু একটুখানি পুস্কনি বা ছোট কম্পনেও পানি টলমল বা ঢেউ তৈরি হয়।
""রাজার ছেলের সাধ্য নেই, জাল ফেলতে পারে"": এখানে বোঝানো হচ্ছে যে, একটি পুকুর বা নদীতে মাছ ধরতে জাল ফেলতে সহজ নয়, বিশেষ করে যদি পানির গভীরতা বা পরিস্থিতি কঠিন হয়। অর্থাৎ, এমন একটি পরিবেশ, যেখানে এমন কাজ করা সহজ নয়, এমনকি ক্ষমতাশালী মানুষও (রাজার ছেলে) এ কাজ করতে পারে না।",,,,
"একটি গাছের বাঁট নাই,
তবু দুগ্ধ হয় প্রচুর।
দোহনকালে থাকে নাকো,
তার নিকটে বাছুর",তালগাছ,কাপ,"""একটি গাছের বাঁট নাই, তবু দুগ্ধ হয় প্রচুর"": গাছের বাঁট না থাকলেও কাপ বা গ্লাসে দুধ থাকতে পারে, অর্থাৎ এটা একটি বস্তু যা কোনো গাছের অংশ নয় কিন্তু তাতে দুধ বা তরল থাকে।
""দোহনকালে থাকে নাকো, তার নিকটে বাছুর"": কাপ বা গ্লাসের কাছে কোনো বাছুর থাকে না, কারণ কাপের মধ্যে দুধ থাকে, কিন্তু প্রকৃত বাছুরের দরকার নেই।",,,,
"একটি হলে কাজ হবে না, দুটি কিন্তু চাই।
দুটি পেলে, হবে চাষী ভাই",বলদ,হাত,"""একটি হলে কাজ হবে না, দুটি কিন্তু চাই"": এক হাতে কাজ করা কঠিন, কিন্তু দুটি হাত থাকলে কাজ সহজে করা যায়।
""দুটি পেলে, হবে চাষী ভাই"": দুটি হাত থাকলে চাষী বা কৃষক সহজে তার কাজ (যেমন, খেতের কাজ) করতে পারেন।",,,,
"একটি অক্ষর শিক্ষকে আছে, পন্ডিতে নেই।
কাননে আছে, বাগানে নেই",ক,ই,"""একটি অক্ষর শিক্ষকে আছে, পন্ডিতে নেই"": শব্দ ""শিক্ষক"" এ ""ই"" অক্ষর রয়েছে, কিন্তু ""পন্ডিত"" শব্দে ""ই"" অক্ষর নেই।
""কাননে আছে, বাগানে নেই"": শব্দ ""কানন"" (অর্থাৎ, বনে বা বনভূমি) এ ""ই"" অক্ষর রয়েছে, কিন্তু ""বাগান"" শব্দে ""ই"" অক্ষর নেই।",,,,
"এতো ভালো বিছানা, কেউ যেন বসে না",পানি,পালং,"""এতো ভালো বিছানা, কেউ যেন বসে না"": এখানে ""পালং"" বা শয্যা ইঙ্গিত করা হচ্ছে, যা খুব ভালো এবং আরামদায়ক, কিন্তু এটি যেন কেউ বসে না বা বসার জন্য নয়—বরং শোবার জন্য। পালং সাধারণত শোয়ার জন্য ব্যবহৃত হয়, তাই এটি ""বসা"" বা ""বসার"" জন্য উপযুক্ত নয়।",,,,
"এমন একটি কাপের নাম বলো দেখি ভাই,
যে কাপেতে চা চিনি, দুধ পানি একটুও নেই",হিরো কাপ,শুকনো কাপ,"""এমন একটি কাপের নাম বলো দেখি ভাই, যে কাপেতে চা চিনি, দুধ পানি একটুও নেই"": এখানে ""শুকনো কাপ"" বোঝানো হচ্ছে, যেখানে চা, চিনি, দুধ বা পানি কিছুই নেই। এটা শুধুমাত্র একটি কাপ, যেখানে কোনো তরল নেই।",,,,
"এরা বাপবেটা ওরা বাপবেটা তালতলা দিয়ে যায়।
তিনটি তাল পড়লে তারা, সমান ভাগে পায়","বাপ, ছেলে, নাতি",পদ্ম,"""এরা বাপবেটা, ওরা বাপবেটা তালতলা দিয়ে যায়"": এটি বোঝাচ্ছে যে, এখানে ""পদ্ম"" বা ""পদ্মফুল"" সম্পর্কিত একটি ধারণা তুলে ধরা হচ্ছে। ""তালতলা দিয়ে যাওয়ার"" ধারণা এখানে গাছ বা প্রকৃতির মধ্যেই সংযুক্ত হতে পারে।
""তিনটি তাল পড়লে তারা, সমান ভাগে পায়"": ""তিনটি তাল"" দ্বারা বুঝানো হচ্ছে, যে একটি তাল গাছের তিনটি অংশ বা গুণ থাকে এবং এই অংশগুলো সমানভাবে ভাগ হয়।",,,,
"এক বৃক্ষে ফুটেছে, এক জোড়া ফুল।
হীরা মানিক কভু নয়, তার সমতুল",চোখ,চোখ,"""এক বৃক্ষে ফুটেছে, এক জোড়া ফুল"": এখানে ""চোখ"" বোঝানো হচ্ছে, কারণ মানুষের চোখের দুইটি অংশ একে অপরের সাথে মিলিত হয়ে ""জোড়া ফুল"" এর মতো দেখতে।
""হীরা মানিক কভু নয়, তার সমতুল"": চোখের পিপঁল বা কর্নিয়া খুব ঝকঝকে, যা হীরের মতো চকচক করে, তবে তা হীরা বা মানিকের সমতুল্য নয়—এটি একটি প্রাকৃতিক রত্নের মতো, কিন্তু তা সম্পূর্ণ আলাদা।",,,,
"এক বাড়ির দুই দরোজা দিয়া জল গড়িয়ে পড়ে,
হাওয়া ছাড়া আর হাওয়া নেয়ার পরে",সর্দি,নাক,"""এক বাড়ির দুই দরোজা দিয়া জল গড়িয়ে পড়ে"": নাকের দুটি নরট (অথবা দুই নাসিকা পথ) দ্বারা জল (অথবা অশ্রু) গড়িয়ে পড়ে।
""হাওয়া ছাড়া আর হাওয়া নেয়ার পরে"": নাক দিয়ে শ্বাস নেওয়া হয়, অর্থাৎ হাওয়া নেয়ার পরে নাক কাজ করে।",,,,
"এক বুড়ির আছে বারোটি ছেলে।
তার বারো ঘরে থাকে এখন টি ছেলে",বৎসর,ঘর (বিশ্বাস) বা আঙুল,"""এক বুড়ির আছে বারোটি ছেলে"": এখানে ""বুড়ি"" বোঝানো হচ্ছে একজন মানুষের হাত বা আঙুলকে।
""তার বারো ঘরে থাকে এখন টি ছেলে"": ""বারো ঘর"" হচ্ছে বারোটি আঙুল (যতগুলো আঙুল হাতের মধ্যে থাকে)। এই আঙুলের মধ্যে মাঝে মাঝে কিছু ছেলেমেয়ে ""টী"" উপস্থিত থাকে, অর্থাৎ ক্ষুদ্র বা ক্ষুদ্রাতিক্ষ্ণ অংশ হিসেবে।",,,,
"এক গাছে তিন তরকারী,
আজব কথা বলি হাড়ি",কলাগাছ,লঙ্কা,"""এক গাছে তিন তরকারী"": লঙ্কা গাছে সাধারণত একসঙ্গে অনেক ধরনের তরকারী বা মশলা জন্মায়, যার মধ্যে লঙ্কাও থাকতে পারে।
""আজব কথা বলি হাড়ি"": ""হাড়ি"" এখানে কৌতুকপূর্ণভাবে বোঝাচ্ছে যে লঙ্কার স্বাদ এত তীব্র যে, তা কথাও বলতে পারে, অর্থাৎ লঙ্কার শক্তি ও স্পাইসি চরিত্রের প্রতি ইঙ্গিত করা হচ্ছে।",,,,
"এক গাছে বহু ফল, গায়ে কাটা কাঁটা।
পাকলে ছাড়াও যদি, হাতে লাগে আঠা",কাঠাঁল,কাঁঠাল,"""এক গাছে বহু ফল, গায়ে কাটা কাঁটা"": কাঁঠাল গাছে অনেক ফল জন্মে এবং কাঁঠালের বাইরের অংশে কাঁটা থাকে।
""পাকলে ছাড়াও যদি, হাতে লাগে আঠা"": কাঁঠাল পাকলে তার ভিতরের অংশ থেকে আঠালো পদার্থ বের হয়, যা হাতে লেগে যায়।",,,,
"এক সাথে সাতটা রঙ,
কোথায় থাকে বলো।
না পারলে বুঝবো,
তুমি বিজ্ঞানে নও ভাল",রংধনু,"""বৃষ্টি"" বা ""রংধনু""","""এক সাথে সাতটা রঙ"": বর্ণালি বা রেইনবো সাতটি রঙের একটি ধারাবাহিকতা, যা বৃষ্টির পর সূর্যের আলোতে দেখা যায়।
""কোথায় থাকে বলো"": বৃষ্টি বা বর্ণালি আকাশে থাকে।
""না পারলে বুঝবো, তুমি বিজ্ঞানে নও ভাল"": রেইনবো বা বর্ণালি হলো বিজ্ঞানের একটি প্রাকৃতিক ঘটনা, যা বাতাসের ভেজা কণায় সূর্যের আলো প্রতিফলিত হওয়ার ফলে দেখা যায়।",,,,
"এক শালিকের তিন মাথা, দেহ মুখে আঠা।
বাক্সের ভিতর ফেলি তবু, যায় দেশ বিদেশ।",চিঠি,কলম,"""এক শালিকের তিন মাথা"": কলমের মাথা বা পেনের তিনটি অংশ থাকতে পারে—এটি মেটাফোরিক্যালভাবে বোঝানো হচ্ছে।
""দেহ মুখে আঠা"": কলমের গঠন বা কালি (যা লেখার জন্য ব্যবহৃত) আঠার মতো লাগতে পারে।
""বাক্সের ভিতর ফেলি তবু, যায় দেশ বিদেশ"": কলম যখন ব্যাগে বা বাক্সে রাখা হয়, তবুও তা লেখার জন্য ব্যবহার করা হয় এবং তার মাধ্যমে বার্তা বা চিঠি বিভিন্ন জায়গায় পৌঁছায়।",,,,
এক ঘরে এক থাম। বল কি তার নাম,ছাতা,ঘড়ি,"""এক ঘরে এক থাম"": ঘড়ির মধ্যে একটি নির্দিষ্ট থাম থাকে, যা ঘড়ির কাঁটার মাধ্যমে সময় দেখায়।
""বল কি তার নাম"": এই থামটির নাম ""ঘড়ি""।",,,,
"এ কোন ব্যাটা শয়তান,
থাকে বসে ধরে কান",চশমা,পিপঁড়ে,"""এ কোন ব্যাটা শয়তান"": পিপঁড়ে ছোট এবং কখনো কখনো বিরক্তিকর মনে হতে পারে, যেমন শয়তান।
""থাকে বসে ধরে কান"": পিপঁড়ে অনেক সময় মানুষের কান, বা অন্য কোনো অংশে বসে থাকতে পারে এবং বিরক্তি সৃষ্টি করতে পারে।",,,,
"এপার ঝাটি,
ওপার ঝাটি।
ঝাটিতে করে,
পিটা পিটি।",চোখের পাতা,ঘণ্টা,"""এপার ঝাটি, ওপার ঝাটি"": ঘণ্টার দুই পাশ, অর্থাৎ ঘণ্টার গায়ের বিভিন্ন অংশ যেমন ঘের বা বাঁকা অংশ যা দেখতে ঝাটি (ঝাড়ু) এর মতো।
""ঝাটিতে করে, পিটা পিটি"": ঘণ্টার গলার মধ্যে একটি পিট বা হাতল থাকে, যা বাজানোর সময় ""পিটা পিটি"" শব্দ তৈরি করে।",,,,
"তিন অক্ষরে নাম যার, যাতে তৈরি তাতেই ভেসে, শেষের অক্ষর বাদ দিলে সোজা বিয়ের পিঁড়িতে বসে"" বল কি সেই মাল??",বরফ,ডোবা,"""তিন অক্ষরে নাম যার, যাতে তৈরি তাতেই ভেসে"": ""ডোবা"" শব্দটি তিন অক্ষরের। ডোবা মানে পানিতে ডুবে যাওয়া, যা ভেসে যাওয়ার সাথে সম্পর্কিত।
""শেষের অক্ষর বাদ দিলে সোজা বিয়ের পিঁড়িতে বসে"": ""ডোবা"" থেকে শেষের ""া"" বাদ দিলে ""ডোব"" হয়ে যায়, যা ""ব"" ও ""ড"" এর সঙ্গে বিয়ের পিঁড়ি বা পাত্রের নামের ধারণার সাথে মেলানো যেতে পারে।",,,,
" বলতো কি এই মামার নাম, যে দিনে দেখা দেয় কিন্তু তাকে দেখা যায়না, আর রাত্রে সে থাকলেও তার দেখা পাওয়া যায় না?",সূর্য,ছায়া,"""সে দিনে দেখা দেয় কিন্তু তাকে দেখা যায়না"": ছায়া দিনে সূর্যের আলোতে তৈরি হয়, তবে সরাসরি ছায়া দেখতে পাওয়া যায় না, তা পরিবেষ্টিত জায়গায় প্রকৃতভাবে উপস্থিত থাকে।
""আর রাত্রে সে থাকলেও তার দেখা পাওয়া যায় না"": রাত্রে, ছায়া থাকলেও আলো কম থাকায় বা অভাব থাকায় ছায়া স্পষ্টভাবে দেখা যায় না।",,,,
"বল কি তার নাম, যার দাঁত আছে কিন্তু কামড় দেওয়া নয় তার কাম?",চিরুনি,"""কাছি"" বা ""কাঁচি""","""তার দাঁত আছে কিন্তু কামড় দেওয়া নয় তার কাম?"": কাঁচির দাঁত বা ব্লেড থাকে, কিন্তু এটি কামড় দেয় না। তার কাজ হলো কাটা, অর্থাৎ এটি কিছু কাটা বা ছেঁটে ফেলার জন্য ব্যবহৃত হয়।",,,,
"বলতো, কি তার নাম ; যে খাবারের স্বাদ পাই কিন্তু পায় না তারা ঘ্রাণ?",জিহ্ববা,জিহ্ববা,"""খাবারের স্বাদ পাই"": জিব বা মুখের লালা খাবারের স্বাদ গ্রহণের জন্য ব্যবহৃত হয়।
""কিন্তু পায় না তারা ঘ্রাণ"": জিব বা মুখ স্বাদ পায়, কিন্তু ঘ্রাণ বা গন্ধ শোঁকার জন্য নাক বা স্নায়ু দরকার হয়, যা শুধুমাত্র জিবের কাজ নয়।",,,,
